time_elapsed,alpha,beta,rho,eta,gamma,success,cost,rmse_w,rmse_iv,mae_iv,n_obs,n_obs_before_delta,message,tte_min,tte_max,moneyness_min,moneyness_max
0,,,,,,False,,,,,0,0.0,Only 58 obs for 0 after cleaning — need >= 100.,,,,
1,,,,,,False,,,,,0,0.0,Only 58 obs for 1 after cleaning — need >= 100.,,,,
2,,,,,,False,,,,,0,0.0,Only 58 obs for 2 after cleaning — need >= 100.,,,,
3,,,,,,False,,,,,0,0.0,Only 58 obs for 3 after cleaning — need >= 100.,,,,
4,,,,,,False,,,,,0,0.0,Only 60 obs for 4 after cleaning — need >= 100.,,,,
7,,,,,,False,,,,,0,0.0,Only 60 obs for 7 after cleaning — need >= 100.,,,,
8,,,,,,False,,,,,0,0.0,Only 58 obs for 8 after cleaning — need >= 100.,,,,
9,,,,,,False,,,,,0,0.0,Only 60 obs for 9 after cleaning — need >= 100.,,,,
10,,,,,,False,,,,,0,0.0,Only 62 obs for 10 after cleaning — need >= 100.,,,,
11,,,,,,False,,,,,0,0.0,Only 58 obs for 11 after cleaning — need >= 100.,,,,
15,,,,,,False,,,,,0,0.0,Only 62 obs for 15 after cleaning — need >= 100.,,,,
16,,,,,,False,,,,,0,0.0,Only 58 obs for 16 after cleaning — need >= 100.,,,,
17,,,,,,False,,,,,0,0.0,Only 58 obs for 17 after cleaning — need >= 100.,,,,
18,,,,,,False,,,,,0,0.0,Only 54 obs for 18 after cleaning — need >= 100.,,,,
21,,,,,,False,,,,,0,0.0,Only 54 obs for 21 after cleaning — need >= 100.,,,,
22,,,,,,False,,,,,0,0.0,Only 52 obs for 22 after cleaning — need >= 100.,,,,
23,,,,,,False,,,,,0,0.0,Only 54 obs for 23 after cleaning — need >= 100.,,,,
24,,,,,,False,,,,,0,0.0,Only 50 obs for 24 after cleaning — need >= 100.,,,,
25,,,,,,False,,,,,0,0.0,Only 48 obs for 25 after cleaning — need >= 100.,,,,
28,,,,,,False,,,,,0,0.0,Only 52 obs for 28 after cleaning — need >= 100.,,,,
29,,,,,,False,,,,,0,0.0,Only 54 obs for 29 after cleaning — need >= 100.,,,,
30,,,,,,False,,,,,0,0.0,Only 54 obs for 30 after cleaning — need >= 100.,,,,
31,,,,,,False,,,,,0,0.0,Only 44 obs for 31 after cleaning — need >= 100.,,,,
32,,,,,,False,,,,,0,0.0,Only 44 obs for 32 after cleaning — need >= 100.,,,,
35,,,,,,False,,,,,0,0.0,Only 42 obs for 35 after cleaning — need >= 100.,,,,
36,,,,,,False,,,,,0,0.0,Only 48 obs for 36 after cleaning — need >= 100.,,,,
37,,,,,,False,,,,,0,0.0,Only 44 obs for 37 after cleaning — need >= 100.,,,,
38,,,,,,False,,,,,0,0.0,Only 48 obs for 38 after cleaning — need >= 100.,,,,
39,,,,,,False,,,,,0,0.0,Only 50 obs for 39 after cleaning — need >= 100.,,,,
43,,,,,,False,,,,,0,0.0,Only 54 obs for 43 after cleaning — need >= 100.,,,,
44,,,,,,False,,,,,0,0.0,Only 54 obs for 44 after cleaning — need >= 100.,,,,
45,,,,,,False,,,,,0,0.0,Only 58 obs for 45 after cleaning — need >= 100.,,,,
46,,,,,,False,,,,,0,0.0,Only 58 obs for 46 after cleaning — need >= 100.,,,,
49,,,,,,False,,,,,0,0.0,Only 58 obs for 49 after cleaning — need >= 100.,,,,
50,,,,,,False,,,,,0,0.0,Only 54 obs for 50 after cleaning — need >= 100.,,,,
51,,,,,,False,,,,,0,0.0,Only 56 obs for 51 after cleaning — need >= 100.,,,,
52,,,,,,False,,,,,0,0.0,Only 55 obs for 52 after cleaning — need >= 100.,,,,
53,,,,,,False,,,,,0,0.0,Only 56 obs for 53 after cleaning — need >= 100.,,,,
56,,,,,,False,,,,,0,0.0,Only 58 obs for 56 after cleaning — need >= 100.,,,,
57,,,,,,False,,,,,0,0.0,Only 58 obs for 57 after cleaning — need >= 100.,,,,
58,,,,,,False,,,,,0,0.0,Only 58 obs for 58 after cleaning — need >= 100.,,,,
59,,,,,,False,,,,,0,0.0,Only 58 obs for 59 after cleaning — need >= 100.,,,,
60,,,,,,False,,,,,0,0.0,Only 58 obs for 60 after cleaning — need >= 100.,,,,
63,,,,,,False,,,,,0,0.0,Only 58 obs for 63 after cleaning — need >= 100.,,,,
64,,,,,,False,,,,,0,0.0,Only 58 obs for 64 after cleaning — need >= 100.,,,,
65,,,,,,False,,,,,0,0.0,Only 60 obs for 65 after cleaning — need >= 100.,,,,
66,,,,,,False,,,,,0,0.0,Only 61 obs for 66 after cleaning — need >= 100.,,,,
67,,,,,,False,,,,,0,0.0,Only 61 obs for 67 after cleaning — need >= 100.,,,,
70,,,,,,False,,,,,0,0.0,Only 62 obs for 70 after cleaning — need >= 100.,,,,
71,,,,,,False,,,,,0,0.0,Only 62 obs for 71 after cleaning — need >= 100.,,,,
72,,,,,,False,,,,,0,0.0,Only 62 obs for 72 after cleaning — need >= 100.,,,,
73,,,,,,False,,,,,0,0.0,Only 62 obs for 73 after cleaning — need >= 100.,,,,
74,,,,,,False,,,,,0,0.0,Only 62 obs for 74 after cleaning — need >= 100.,,,,
77,,,,,,False,,,,,0,0.0,Only 86 obs for 77 after cleaning — need >= 100.,,,,
78,,,,,,False,,,,,0,0.0,Only 90 obs for 78 after cleaning — need >= 100.,,,,
79,,,,,,False,,,,,0,0.0,Only 90 obs for 79 after cleaning — need >= 100.,,,,
80,,,,,,False,,,,,0,0.0,Only 88 obs for 80 after cleaning — need >= 100.,,,,
81,,,,,,False,,,,,0,0.0,Only 88 obs for 81 after cleaning — need >= 100.,,,,
84,,,,,,False,,,,,0,0.0,Only 90 obs for 84 after cleaning — need >= 100.,,,,
85,,,,,,False,,,,,0,0.0,Only 90 obs for 85 after cleaning — need >= 100.,,,,
86,,,,,,False,,,,,0,0.0,Only 88 obs for 86 after cleaning — need >= 100.,,,,
87,,,,,,False,,,,,0,0.0,Only 90 obs for 87 after cleaning — need >= 100.,,,,
91,,,,,,False,,,,,0,0.0,Only 95 obs for 91 after cleaning — need >= 100.,,,,
92,,,,,,False,,,,,0,0.0,Only 96 obs for 92 after cleaning — need >= 100.,,,,
93,,,,,,False,,,,,0,0.0,Only 90 obs for 93 after cleaning — need >= 100.,,,,
94,,,,,,False,,,,,0,0.0,Only 94 obs for 94 after cleaning — need >= 100.,,,,
95,,,,,,False,,,,,0,0.0,Only 96 obs for 95 after cleaning — need >= 100.,,,,
98,,,,,,False,,,,,0,0.0,Only 96 obs for 98 after cleaning — need >= 100.,,,,
99,,,,,,False,,,,,0,0.0,Only 96 obs for 99 after cleaning — need >= 100.,,,,
100,-3.2525418504235133,1.1979760050112174,-0.6860717873065785,1.0957135876247706,0.4000237032611813,True,1.3233729660215312e-06,0.00021783911666087893,0.000636650396553682,0.0004444295352635033,100,,`gtol` termination condition is satisfied.,0.6767123287671233,1.673972602739726,-0.0845866288253311,0.1978963552425701
